,giniCoefficient,shannonsEntropy,LUSD.netSwapFlow,LUSD.netLPFlow,3Crv.netSwapFlow,3Crv.netLPFlow
2023-03-22 00:55:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-22 00:56:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-22 00:57:00,0.35154855733945,0.6059505917567447,0.0,0,0.0,0
2023-03-22 00:58:00,0.35186222200788975,0.605160406287465,0.0,0,0.0,0
2023-03-22 00:59:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:00:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:01:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:02:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:03:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:04:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:05:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:06:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:07:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:08:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:09:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:10:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:11:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:12:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:13:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:14:00,0.35204448294625934,0.6046672497207283,0.0,0,0.0,0
2023-03-22 01:15:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:16:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:17:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:18:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:19:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:20:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:21:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:22:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:23:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:24:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:25:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:26:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:27:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:28:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:29:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:30:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:31:00,0.35084783427285077,0.6077145259986503,0.0,0,0.0,0
2023-03-22 01:32:00,0.3510332861042724,0.6072476703177788,0.0,0,0.0,0
2023-03-22 01:33:00,0.35177509342995916,0.6053802475942928,0.0,0,0.0,0
2023-03-22 01:34:00,0.35177509342995916,0.6053802475942928,0.0,0,0.0,0
2023-03-22 01:35:00,0.35177509342995916,0.6053802475942928,0.0,0,0.0,0
2023-03-22 01:36:00,0.35177509342995916,0.6053802475942928,0.0,0,0.0,0
2023-03-22 01:37:00,0.35177509342995916,0.6053802475942928,0.0,0,0.0,0
2023-03-22 01:38:00,0.35177509342995916,0.6053802475942928,0.0,0,0.0,0
2023-03-22 01:39:00,0.35177509342995916,0.6053802475942928,0.0,0,0.0,0
2023-03-22 01:40:00,0.35177509342995916,0.6053802475942928,0.0,0,0.0,0
2023-03-22 01:41:00,0.35177509342995916,0.6053802475942928,0.0,0,0.0,0
2023-03-22 01:42:00,0.35177509342995916,0.6053802475942928,0.0,0,0.0,0
2023-03-22 01:43:00,0.35177509342995916,0.6053802475942928,0.0,0,0.0,0
2023-03-22 01:44:00,0.35177509342995916,0.6053802475942928,0.0,0,0.0,0
2023-03-22 01:45:00,0.35177509342995916,0.6053802475942928,0.0,0,0.0,0
2023-03-22 01:46:00,0.35177509342995916,0.6053802475942928,0.0,0,0.0,0
2023-03-22 01:47:00,0.35177509342995916,0.6053802475942928,0.0,0,0.0,0
2023-03-22 01:48:00,0.35177509342995916,0.6053802475942928,0.0,0,0.0,0
2023-03-22 01:49:00,0.35177509342995916,0.6053802475942928,0.0,0,0.0,0
2023-03-22 01:50:00,0.35177509342995916,0.6053802475942928,0.0,0,0.0,0
2023-03-22 01:51:00,0.35177509342995916,0.6053802475942928,0.0,0,0.0,0
2023-03-22 01:52:00,0.35177509342995916,0.6053802475942928,0.0,0,0.0,0
2023-03-22 01:53:00,0.35177509342995916,0.6053802475942928,0.0,0,0.0,0
2023-03-22 01:54:00,0.35177509342995916,0.6053802475942928,0.0,0,0.0,0
2023-03-22 01:55:00,0.3523680704160448,0.603853200417065,0.0,0,0.0,0
2023-03-22 01:56:00,0.35568047417927307,0.5954096896793649,0.0,0,0.0,0
2023-03-22 01:57:00,0.3568972764420687,0.5922935896288601,0.0,0,0.0,0
2023-03-22 01:58:00,0.3582310148796009,0.5888429533500833,0.0,0,0.0,0
2023-03-22 01:59:00,0.3587618260433756,0.5874723151122422,0.0,0,0.0,0
2023-03-22 02:00:00,0.35751879297583766,0.5906864981233209,0.0,0,0.0,0
2023-03-22 02:01:00,0.3581403095096066,0.5890794066177815,0.0,0,0.0,0
2023-03-22 02:02:00,0.3581403095096066,0.5890794066177815,0.0,0,0.0,0
2023-03-22 02:03:00,0.3581403095096066,0.5890794066177815,0.0,0,0.0,0
2023-03-22 02:04:00,0.35885253141336987,0.5872358618445441,0.0,0,0.0,0
2023-03-22 02:05:00,0.3581403095096066,0.5890794066177815,0.0,0,0.0,0
2023-03-22 02:06:00,0.3581403095096066,0.5890794066177815,0.0,0,0.0,0
2023-03-22 02:07:00,0.35751879297583766,0.5906864981233209,0.0,0,0.0,0
2023-03-22 02:08:00,0.3568972764420687,0.5922935896288601,0.0,0,0.0,0
2023-03-22 02:09:00,0.3574347981339389,0.5908989107068452,0.0,0,0.0,0
2023-03-22 02:10:00,0.35760949834583194,0.5904500448556227,0.0,0,0.0,0
2023-03-22 02:11:00,0.35760949834583194,0.5904500448556227,0.0,0,0.0,0
2023-03-22 02:12:00,0.3581403095096066,0.5890794066177815,0.0,0,0.0,0
2023-03-22 02:13:00,0.3577002037158262,0.5902135915879245,0.0,0,0.0,0
2023-03-22 02:14:00,0.3583217202495952,0.5886065000823852,0.0,0,0.0,0
2023-03-22 02:15:00,0.3563664652782941,0.5936642278667013,0.0,0,0.0,0
2023-03-22 02:16:00,0.3568972764420687,0.5922935896288601,0.0,0,0.0,0
2023-03-22 02:17:00,0.3591246475233527,0.5865265020414496,0.0,0,0.0,0
2023-03-22 02:18:00,0.35841242561958947,0.5883700468146872,0.0,0,0.0,0
2023-03-22 02:19:00,0.3582310148796009,0.5888429533500833,0.0,0,0.0,0
2023-03-22 02:20:00,0.3581403095096066,0.5890794066177815,0.0,0,0.0,0
2023-03-22 02:21:00,0.3587618260433756,0.5874723151122422,0.0,0,0.0,0
2023-03-22 02:22:00,0.3587618260433756,0.5874723151122422,0.0,0,0.0,0
2023-03-22 02:23:00,0.3587618260433756,0.5874723151122422,0.0,0,0.0,0
2023-03-22 02:24:00,0.3583217202495952,0.5886065000823852,0.0,0,0.0,0
2023-03-22 02:25:00,0.35760949834583194,0.5904500448556227,0.0,0,0.0,0
2023-03-22 02:26:00,0.35751879297583766,0.5906864981233209,0.0,0,0.0,0
2023-03-22 02:27:00,0.35760949834583194,0.5904500448556227,0.0,0,0.0,0
2023-03-22 02:28:00,0.356431139041742,0.5934989082580145,0.0,0,0.0,0
2023-03-22 02:29:00,0.3583217202495952,0.5886065000823852,0.0,0,0.0,0
2023-03-22 02:30:00,0.35751879297583766,0.5906864981233209,0.0,0,0.0,0
2023-03-22 02:31:00,0.3581403095096066,0.5890794066177815,0.0,0,0.0,0
2023-03-22 02:32:00,0.35841242561958947,0.5883700468146872,0.0,0,0.0,0
2023-03-22 02:33:00,0.3582310148796009,0.5888429533500833,0.0,0,0.0,0
2023-03-22 02:34:00,0.3583217202495952,0.5886065000823852,0.0,0,0.0,0
2023-03-22 02:35:00,0.3577002037158262,0.5902135915879245,0.0,0,0.0,0
2023-03-22 02:36:00,0.35751879297583766,0.5906864981233209,0.0,0,0.0,0
